"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
3719473,"       (2015 KB19)",,Y,Y,,0.4344,1.72,0.973,7.02,253.02,40.29,34.40,2.47,2460521.77
3720440,"       (2015 KJ122)",,Y,Y,,0.7503,0.7853,0.196,5.07,187.89,229.79,18.60,1.37,2460587.37
3720769,"       (2015 KH157)",,Y,Y,0.582,0.5323,1.792,0.838,21.55,89.32,51.31,356.08,2.75,2460610.03
3720846,"       (2015 KL157)",,Y,Y,1.288,0.6175,2.643,1.011,35.52,279.23,5.14,53.42,4.28,2460367.56
3721220,"       (2015 LK24)",,Y,Y,0.306,0.6174,2.673,1.023,14.41,94.86,202.56,43.75,4.32,2460406.46
3721907,"       (2015 MW53)",,Y,Y,,0.1968,1.202,0.966,36.46,85.51,314.84,280.92,1.44,2460706.26
3723597,"       (2015 MT96)",,Y,Y,,0.5357,2.262,1.050,10.42,177.63,173.28,233.70,3.47,2461036.29
3723767,"       (2015 MG116)",,Y,Y,,0.5667,1.467,0.636,2.46,174.84,201.73,326.51,2.30,2457261.89
3724221,"       (2015 ME131)",,Y,Y,,0.2122,0.8164,0.643,33.64,317.78,156.88,69.68,0.99,2460548.35
3723888,"       (2015 NU2)",,Y,Y,,0.6481,1.139,0.401,8.14,243.62,279.95,276.72,1.88,2460703.23
3723951,"       (2015 NJ3)",,Y,Y,,0.6708,1.688,0.556,12.28,134.39,251.44,47.98,2.82,2460493.75
3724058,"       (2015 NK13)",,Y,Y,,0.5587,2.254,0.995,8.10,192.89,192.44,239.21,3.51,2461015.23
3724106,"       (2015 NU13)",,Y,Y,,0.5903,1.83,0.750,4.22,139.78,260.55,205.80,2.91,2460987.67
3724112,"       (2015 NZ13)",,Y,Y,0.258,0.7808,2.015,0.442,6.58,175.39,239.68,62.74,3.59,2460418.41
3724392,"       (2015 OC22)",,Y,Y,,0.9028,2.148,0.209,11.65,124.73,321.65,314.14,4.09,2460746.96
3724644,"       (2015 OL35)",,Y,Y,,0.6449,2.587,0.918,4.49,134.65,296.39,52.55,4.25,2460378.72
3724987,"       (2015 PM)",,Y,Y,,0.6330,1.308,0.480,7.47,181.05,244.31,6.74,2.14,2460590.27
3726014,"       (2015 PR228)",,Y,Y,,0.6894,2.595,0.806,7.28,320.47,107.21,36.07,4.38,2460447.49
3726015,"       (2015 PU228)",,Y,Y,0.328,0.7863,2.291,0.489,9.42,299.21,274.34,254.98,4.09,2460969.91
3726510,"       (2015 PM307)",,Y,Y,,0.8604,2.18,0.304,8.03,142.10,319.18,343.91,4.06,2457302.05
3726513,"       (2015 QO3)",,Y,Y,,0.8503,2.266,0.339,10.05,158.72,308.42,225.96,4.19,2461064.27
3727174,"       (2015 RA36)",,Y,Y,,0.6416,2.602,0.933,34.50,156.08,157.67,68.68,4.27,2460307.96
3727338,"       (2015 RP82)",,Y,Y,,0.6189,2.473,0.942,24.68,193.69,36.27,165.70,4.00,2459946.81
