"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
54320183,"       (2022 UR8)",,Y,N,,0.2025,1.27,1.013,12.84,205.07,178.81,143.50,1.53,2460392.18
54320181,"       (2022 UT8)",,Y,N,,0.1883,0.8485,0.689,1.64,8.55,212.82,4.53,1.01,2460596.91
54320182,"       (2022 UU8)",,Y,N,,0.1124,1.011,0.898,6.45,35.21,88.51,261.15,1.12,2460702.50
54320188,"       (2022 UX8)",,Y,N,,0.2697,1.422,1.038,21.59,72.28,242.33,116.37,1.81,2460400.31
54320185,"       (2022 UY8)",,Y,N,,0.3206,1.738,1.181,30.67,24.13,83.63,263.49,2.30,2460824.89
54320184,"       (2022 UZ8)",,Y,N,,0.5555,2.098,0.933,6.76,206.51,231.93,346.52,3.26,2459916.06
54320186,"       (2022 UA9)",,Y,N,,0.4352,2.19,1.237,4.75,37.81,340.89,1.40,3.14,2459866.91
54320187,"       (2022 UB9)",,Y,N,,0.4058,1.659,0.986,3.59,190.73,237.68,318.37,2.33,2460690.73
54320189,"       (2022 UC9)",,Y,N,,0.5377,1.857,0.859,21.31,28.73,287.76,23.83,2.86,2459816.31
54320190,"       (2022 UD9)",,Y,Y,,0.4025,1.46,0.872,9.03,93.47,47.70,349.85,2.05,2460618.67
54320191,"       (2022 UE9)",,Y,N,,0.4189,1.504,0.874,24.01,208.24,125.07,23.50,2.13,2459832.53
54320192,"       (2022 UF9)",,Y,N,,0.1390,1.157,0.996,11.59,211.95,195.85,199.90,1.32,2460802.69
54320193,"       (2022 UG9)",,Y,N,,0.1668,1.238,1.031,8.66,202.33,182.46,159.58,1.44,2460377.54
54320194,"       (2022 UH9)",,Y,N,,0.2543,1.282,0.956,30.22,29.35,318.34,24.49,1.61,2459840.43
54320195,"       (2022 UK9)",,Y,N,,0.0778,1.043,0.962,12.39,212.44,103.37,15.83,1.12,2460583.39
54320196,"       (2022 UL9)",,Y,Y,,0.5838,1.472,0.613,3.83,181.02,112.37,69.64,2.33,2460474.33
54320197,"       (2022 UN9)",,Y,N,,0.5827,1.686,0.704,3.23,66.11,241.91,23.72,2.67,2459824.81
54320199,"       (2022 UP9)",,Y,N,,0.5407,2.22,1.020,1.80,79.43,255.34,228.49,3.42,2461041.89
54320198,"       (2022 UQ9)",,Y,N,,0.4314,1.582,0.900,2.62,211.84,129.54,17.56,2.26,2460565.04
54320200,"       (2022 UU9)",,Y,N,,0.4902,1.622,0.827,4.60,27.84,70.81,336.44,2.42,2459926.87
54320201,"       (2022 UV9)",,Y,N,,0.5519,1.514,0.678,9.73,211.75,265.42,332.31,2.35,2459929.83
54320202,"       (2022 UW9)",,Y,N,,0.5525,2.193,0.982,1.87,116.74,233.33,9.69,3.41,2459841.56
54320699,"       (2022 UY9)",,Y,N,,0.3365,1.879,1.247,22.18,94.23,245.42,314.46,2.51,2460719.50
54320700,"       (2022 UA10)",,Y,N,,0.5546,2.256,1.005,6.82,226.73,164.67,210.28,3.51,2461115.24
54320702,"       (2022 UJ10)",,Y,N,,0.2778,1.346,0.972,8.45,249.65,115.49,108.53,1.72,2460428.55
54320703,"       (2022 UK10)",,Y,N,,0.6387,2.485,0.898,2.75,346.84,96.92,347.89,4.07,2459918.60
54320704,"       (2022 UL10)",,Y,N,,0.4779,1.929,1.007,7.48,20.72,342.27,6.81,2.85,2459853.99
54320705,"       (2022 UM10)",,Y,N,,0.3967,1.423,0.858,12.70,33.82,75.22,320.44,1.99,2459941.62
54320707,"       (2022 UO10)",,Y,N,,0.1109,1.005,0.893,17.23,26.21,258.25,83.76,1.12,2460514.92
54320708,"       (2022 UP10)",,Y,N,,0.2352,1.175,0.898,24.76,30.09,81.81,301.96,1.45,2459948.46
54320710,"       (2022 UQ10)",,Y,N,,0.1651,1.244,1.039,18.01,214.26,160.83,163.57,1.45,2460370.24
54320709,"       (2022 UR10)",,Y,N,,0.4672,1.831,0.976,7.16,30.23,334.24,296.39,2.69,2460760.42
54320711,"       (2022 US10)",,Y,N,,0.6480,2.506,0.882,5.35,30.58,315.04,187.63,4.13,2461294.37
54320713,"       (2022 UT10)",,Y,N,,0.1559,0.8927,0.754,6.42,215.38,328.94,340.99,1.03,2460616.77
54320712,"       (2022 UU10)",,Y,N,,0.2815,1.384,0.995,2.26,35.70,20.12,64.09,1.77,2460494.60
54320715,"       (2022 UV10)",,Y,N,,0.3961,1.497,0.904,1.72,33.76,309.26,49.80,2.09,2460507.99
54320716,"       (2022 UW10)",,Y,N,,0.4595,1.839,0.994,4.04,216.76,195.09,278.64,2.68,2460806.30
54320714,"       (2022 UX10)",,Y,N,,0.1875,1.255,1.020,24.36,210.71,168.86,7.67,1.49,2459866.56
54320717,"       (2022 UA11)",,Y,N,,0.2238,1.42,1.102,27.82,33.00,324.85,84.12,1.74,2460456.08
54320718,"       (2022 UB11)",,Y,N,,0.1781,0.9427,0.775,12.71,35.81,144.35,284.49,1.11,2460670.63
54320719,"       (2022 UC11)",,Y,N,,0.5757,2.399,1.018,3.58,215.30,157.28,4.42,3.78,2459861.82
54320720,"       (2022 UD11)",,Y,N,,0.1283,0.9338,0.814,31.22,36.71,139.38,293.98,1.05,2460660.94
54320721,"       (2022 UE11)",,Y,N,,0.6274,1.386,0.516,27.77,41.86,235.60,116.52,2.26,2460407.66
54320722,"       (2022 UF11)",,Y,N,,0.3464,1.412,0.923,6.82,215.34,227.14,335.34,1.90,2459920.47
54320723,"       (2022 UG11)",,Y,N,,0.4179,1.722,1.002,26.80,213.12,138.17,16.18,2.44,2459841.41
54320724,"       (2022 UH11)",,Y,N,,0.6779,2.109,0.679,5.91,114.67,176.83,20.25,3.54,2459809.59
54320725,"       (2022 UJ11)",,Y,N,,0.3404,1.587,1.046,6.28,216.58,160.51,6.51,2.13,2459864.31
54320726,"       (2022 UK11)",,Y,N,,0.5766,2.205,0.934,4.04,57.57,256.22,18.13,3.48,2459812.24
54320727,"       (2022 UL11)",,Y,N,,0.4901,0.6693,0.341,3.62,212.21,0.75,37.99,1.00,2460579.39
54320728,"       (2022 UM11)",,Y,N,,0.3352,0.9486,0.631,5.16,209.45,63.48,133.10,1.27,2460475.73
54320729,"       (2022 UN11)",,Y,N,,0.1821,1.016,0.831,9.11,211.16,80.03,54.18,1.20,2460544.16
54320730,"       (2022 UO11)",,Y,N,,0.3418,0.897,0.590,2.67,22.00,142.57,19.10,1.20,2460584.03
54320731,"       (2022 UP11)",,Y,N,,0.3941,1.414,0.857,30.14,31.43,295.67,29.36,1.97,2459828.43
54321073,"       (2022 UQ11)",,Y,N,,0.2497,1.517,1.138,12.49,35.85,11.33,14.58,1.90,2460572.88
54321074,"       (2022 UR11)",,Y,N,,0.5899,2.077,0.852,2.42,28.71,61.22,346.29,3.30,2459920.14
54321075,"       (2022 US11)",,Y,N,,0.4050,1.999,1.189,3.52,273.10,174.14,231.29,2.81,2460969.57
54321076,"       (2022 UT11)",,Y,N,,0.6226,2.668,1.007,28.21,52.10,39.14,156.60,4.33,2459907.90
54321077,"       (2022 UU11)",,Y,Y,,0.2501,0.9132,0.685,14.23,345.33,224.18,298.59,1.14,2460654.87
54321078,"       (2022 UV11)",,Y,N,,0.2319,1.517,1.165,5.80,21.04,5.76,359.36,1.87,2459873.71
54321079,"       (2022 UW11)",,Y,N,,0.2848,1.394,0.997,10.40,206.98,196.05,66.95,1.79,2460488.70
54321080,"       (2022 UA12)",,Y,N,,0.1661,1.4,1.167,10.86,15.27,33.44,58.62,1.63,2460502.02
54321081,"       (2022 UL12)",,Y,N,,0.2178,0.8677,0.679,14.74,212.14,7.75,333.75,1.06,2460622.03
54321083,"       (2022 UM12)",,Y,N,,0.4801,1.89,0.982,1.84,237.62,121.03,8.37,2.80,2459851.44
54321082,"       (2022 UN12)",,Y,N,,0.5397,2.107,0.970,9.08,24.88,336.07,240.67,3.24,2460970.66
54321084,"       (2022 UO12)",,Y,N,,0.5954,1.688,0.683,3.33,214.22,261.99,301.14,2.69,2460731.51
54321085,"       (2022 UP12)",,Y,N,,0.3971,0.7383,0.445,12.73,32.34,197.08,185.55,1.03,2460712.78
54321086,"       (2022 UQ12)",,Y,N,,0.1228,1.131,0.992,13.57,33.29,325.16,258.08,1.27,2460724.87
54321087,"       (2022 UR12)",,Y,N,,0.3984,1.764,1.061,35.97,32.72,329.32,12.26,2.47,2459850.36
54321088,"       (2022 UT12)",,Y,N,,0.3321,1.748,1.168,16.95,216.70,179.04,302.37,2.33,2460735.67
